Asiento,Fecha,Tipo,Número,Cliente,CUIT,Gravados,IVA,Total
"11) - 29579",2026-05-01,"F A","00003-00000498","GEA S.A.","33-68915085-9",1154266.37,242395.94,1396662.31
"26) - 29594",2026-05-02,"F A","00003-00000499","ASSISTENCIAL SALUD S.A.","30-71522936-2",308400,64764,373164
"27) - 29595",2026-05-03,"F A","00003-00000500","MEDICAL SERVICIOS DE SALUD SRL","30-71707621-0",3625608.43,761377.77,4386986.2
"29) - 29597",2026-05-04,"F A","00003-00000501","ASSISTENCIAL SALUD S.A.","30-71522936-2",2983979.06,626635.6,3610614.66
"30) - 29598",2026-05-05,"F A","00003-00000502","MEDICAL SERVICIOS DE SALUD SRL","30-71707621-0",1750125.62,367526.38,2117652
"13) - 29581",2026-05-06,"F B","00003-00001011","OS PRENSA ROSARIO","30-62425407-0",789122.29,165715.68,954837.97
"14) - 29582",2026-05-07,"F B","00003-00001012","OS PRENSA ROSARIO","30-62425407-0",881378.75,185089.54,1066468.29
"15) - 29583",2026-05-08,"F B","00003-00001013","O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO","30-69087329-6",2011946.57,422508.78,2434455.35
"16) - 29584",2026-05-09,"F B","00003-00001014","O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO","30-69087329-6",707338.61,148541.11,855879.72
"17) - 29585",2026-05-10,"F B","00003-00001015","OSPERYH","30-59965970-2",2176126.29,456986.52,2633112.81
"18) - 29586",2026-05-11,"F B","00003-00001016","OSPERYHRA","30-59545956-3",458131.85,96207.69,554339.54
"19) - 29587",2026-05-12,"F B","00003-00001017","FATERYH","30-53331924-2",8704505.15,1827946.08,10532451.23
"12) - 29580",2026-05-13,"F B","00003-00001018","OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA","30-68373359-4",350000,73500,423500
"20) - 29588",2026-05-14,"F B","00003-00001019","OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA","30-68373359-4",4500000,945000,5445000
"21) - 29589",2026-05-15,"F B","00003-00001020","SUTERH","30-52954331-6",1832527.4,384830.75,2217358.15
"23) - 29591",2026-05-16,"F B","00003-00001021","OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA","30-68373359-4",350000,73500,423500
"24) - 29592",2026-05-17,"F B","00003-00001022","OSPERYH","30-59965970-2",27799684.95,5837933.84,33637618.79
"25) - 29593",2026-05-18,"F B","00003-00001023","OSPERYHRA","30-59545956-3",2000000,420000,2420000
"28) - 29596",2026-05-19,"F B","00003-00001024","OSPILM","30-60956813-1",780190.39,163839.98,944030.37
"31) - 29599",2026-05-20,"F B","00003-00001025","OSPILM","30-60956813-1",5311446.58,1115403.78,6426850.36
"34) - 29602",2026-05-21,"F B","00003-00001026","OSPILM","30-60956813-1",4569638.8,959624.15,5529262.95
"33) - 29601",2026-05-22,"NC A","00003-00000030","MEDICAL SERVICIOS DE SALUD SRL","30-71707621-0",-3625608.43,-761377.77,-4386986.2
"22) - 29590",2026-05-23,"NC B","00003-00000052","OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA","30-68373359-4",-350000,-73500,-423500
"32) - 29600",2026-05-24,"NC B","00003-00000053","OSPILM","30-60956813-1",-780190.39,-163839.98,-944030.37
