Contabilización;Comprobante;;Contraparte;;;Importes (pesos);;;;;;;
Asiento;Fecha;Num;CUIT;Nombre o Razón Social;IVA;Transf. Bcaria;Ret.Gcias;Ret.IIB;Ret.Munic.;Total;Comprobantes Asociados;Imputación;Observaciones
75) - 29796;07/01/2026;2093;30-62425407-0;OS PRENSA ROSARIO;E;2.021.306,26;;;;2.021.306,26;F B 00003-00000998 01/12/25 ... (+ 1);Ok;
77) - 29797;08/01/2026;2097;30-59545956-3;OSPERYHRA;E;544.596,15;9.743,39;;;554.339,54;F B 00003-00001016 02/01/26;Ok;
80) - 29798;09/01/2026;2095;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;3.225.871,77;64.463,30;;;3.290.335,07;F B 00003-00001013 02/01/26 ... (+ 1);Ok;
97) - 29799;13/01/2026;2096;30-71522936-2;ASSISTENCIAL SALUD S.A.;RI;3.354.439,34;;;;3.354.439,34;F A 00003-00000494 01/12/25;Ok;
103) - 29800;15/01/2026;2098;30-71707621-0;MEDICAL SERVICIOS DE SALUD SRL;RI;2.048.929,20;;;;2.048.929,20;F A 00003-00000474 01/10/25;Ok;
109) - 29801;16/01/2026;2099;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;5.868.500,00;;;;5.868.500,00;F B 00003-00001018 02/01/26 ... (+ 1);Ok;
123) - 29802;19/01/2026;2100;30-59965970-2;OSPERYH;E;39.329.113,05;817.228,33;715.074,78;;40.861.416,16;F B 00003-00000996 17/11/25;Ok;
140) - 29803;20/01/2026;2101;30-60956813-1;OSPILM;E;11.718.334,44;237.778,87;;;11.956.113,31;F B 00003-00001024 02/01/26 ... (+ 3);Ok;
141) - 29804;20/01/2026;2102;30-53331924-2;FATERYH;E;10.323.145,61;209.305,62;;;10.532.451,23;F B 00003-00001017 02/01/26;Ok;
142) - 29805;20/01/2026;2103;30-59545956-3;OSPERYHRA;E;2.371.600,00;48.400,00;;;2.420.000,00;F B 00003-00001023 02/01/26;Ok;
146) - 29806;21/01/2026;2104;30-70495386-7;OSLERA;RI;147.329,31;4.618,94;;;151.948,25;F A 00003-00000503 16/01/26;Ok;
