Regisoft Contabilidad y Gestión;;;;;;;;;;;;Pág. 1 / 1;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
EPL CONSULTORES SRL, Av. Dr. Honorio Pueyrredon 328 - Dto:8, 1405 CABA, Capital.  Responsable Inscripto 30-71193999-3;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Libro Mayor;;;;;;;;;;;;;;
Desde  01/01/2026  hasta  31/12/2026;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
01.01.01.01 - CAJA (A);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      1);;;01/01/26;Automático: Asiento de Inicio;;;2.724.884,40;;;;2.724.884,40;;;
      68);;;05/01/26;Retenciones Ganancias;;;;;66.894,63;;2.657.989,77;;;
      74);;;06/01/26;Retiro Efectivo Cheque 1006 y 1007;;;2.650.000,00;;;;5.307.989,77;;;
      87);;;09/01/26;Pagos: s/ O.Pago Nº6246 - SCHNEIDER ALAN NICOLAS;;;;;53.006,88;;5.254.982,89;;;
      88);;;09/01/26;Pagos: s/ O.Pago Nº6247 - OSDE ORGANIZACION DE SERVICIOS DIRECTOS;;;;;12.639,35;;5.242.343,54;;;
      89);;;09/01/26;Pagos: s/ O.Pago Nº6251 - ENCODE S.A.;;;;;87.120,00;;5.155.223,54;;;
      99);;;13/01/26;Pagos: s/ O.Pago Nº6245 - DINAMICA COMERCIAL  SRL;;;;;16.000,00;;5.139.223,54;;;
      120);;;16/01/26;Pagos: s/ O.Pago Nº6242 - CAMARA DE EMPRESAS DE SOFTWARE Y SERVICIOS INF;;;;;60.000,00;;5.079.223,54;;;
      207);;;31/01/26;Pagos: s/ O.Pago Nº6262 - TELEFONICA MOVILES ARGENT;;;;;263,70;;5.078.959,84;;;
      317);;;24/02/26;Pagos: s/ O.Pago Nº6243 - CONTATECH;;;;;76.230,00;;5.002.729,84;;;
      400);;;05/03/26;Pagos: s/ O.Pago Nº6256 - YOMHA DANTE;;;;;800.000,00;;4.202.729,84;;;
      443);;;13/03/26;Pagos: s/ O.Pago Nº6252 - YOMHA GALILEO;;;;;3.300.000,00;;902.729,84;;;
      480);;;25/03/26;Pagos: s/ O.Pago Nº6171 - YOMHA FRANCO;;;;;715.000,00;;187.729,84;;;
      481);;;25/03/26;Retiro Efectivo Cheque 1327 y 1328;;;1.000.000,00;;;;1.187.729,84;;;
      482);;;25/03/26;Extraccion de efectivo;;;1.000,00;;;;1.188.729,84;;;
      519);;;31/03/26;Pagos: s/ O.Pago Nº6254 - YOMHA FRANCO;;;;;2.500.000,00;;-1.311.270,16;;;
      525);;;31/03/26;Reclasificacion de cuentas de impuestos;;;;;608.459,59;;-1.919.729,75;;;
      526);;;31/03/26;Pago proveedores;;;;;2.019.064,83;;-3.938.794,58;;;
      585);;;01/04/26;Pagos: s/ O.Pago Nº6244 - CRAVERO NEGOCIOS S.A.;;;;;27.126,51;;-3.965.921,09;;;
