Contabilización;Comprobante;;;;Cliente;;;Gravados;;;
Asiento;Fecha;Tipo;Nº;CAE;CUIT;Nombre o Razón Social;IVA;ING;IVA;Total;Observaciones
11) - 29579;02/01/2026;F A;00003-00000498;Sí;33-68915085-9;GEA S.A.;RI;1.154.266,37;242.395,94;1.396.662,31;Periodo Diciembre 2025
26) - 29594;02/01/2026;F A;00003-00000499;Sí;30-71522936-2;ASSISTENCIAL SALUD S.A.;RI;308.400,00;64.764,00;373.164,00;Período Diciembre 2025 
27) - 29595;02/01/2026;F A;00003-00000500;Sí;30-71707621-0;MEDICAL SERVICIOS DE SALUD SRL;RI;3.625.608,43;761.377,77;4.386.986,20;Período Diciembre 2025 
29) - 29597;02/01/2026;F A;00003-00000501;Sí;30-71522936-2;ASSISTENCIAL SALUD S.A.;RI;2.983.979,06;626.635,60;3.610.614,66;Carpeta 10-2025
30) - 29598;02/01/2026;F A;00003-00000502;Sí;30-71707621-0;MEDICAL SERVICIOS DE SALUD SRL;RI;1.750.125,62;367.526,38;2.117.652,00;Carpeta 10-2025 
13) - 29581;02/01/2026;F B;00003-00001011;Sí;30-62425407-0;OS PRENSA ROSARIO;E;789.122,29;165.715,68;954.837,97;Periodo Diciembre 2025
14) - 29582;02/01/2026;F B;00003-00001012;Sí;30-62425407-0;OS PRENSA ROSARIO;E;881.378,75;185.089,54;1.066.468,29;Período Diciembre 2025
15) - 29583;02/01/2026;F B;00003-00001013;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;2.011.946,57;422.508,78;2.434.455,35;Período Diciembre 2025
16) - 29584;02/01/2026;F B;00003-00001014;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;707.338,61;148.541,11;855.879,72;Período Diciembre 2025
17) - 29585;02/01/2026;F B;00003-00001015;Sí;30-59965970-2;OSPERYH;E;2.176.126,29;456.986,52;2.633.112,81;Período Diciembre 2025
18) - 29586;02/01/2026;F B;00003-00001016;Sí;30-59545956-3;OSPERYHRA;E;458.131,85;96.207,69;554.339,54;Período Diciembre 2025
19) - 29587;02/01/2026;F B;00003-00001017;Sí;30-53331924-2;FATERYH;E;8.704.505,15;1.827.946,08;10.532.451,23;Período Diciembre 2025
12) - 29580;02/01/2026;F B;00003-00001018;Sí;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;350.000,00;73.500,00;423.500,00;Período Diciembre 2025
20) - 29588;02/01/2026;F B;00003-00001019;Sí;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;4.500.000,00;945.000,00;5.445.000,00;Período Diciembre 2025
21) - 29589;02/01/2026;F B;00003-00001020;Sí;30-52954331-6;SUTERH;E;1.832.527,40;384.830,75;2.217.358,15;Período Diciembre 2025
23) - 29591;02/01/2026;F B;00003-00001021;Sí;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;350.000,00;73.500,00;423.500,00;Período Diciembre 2025
24) - 29592;02/01/2026;F B;00003-00001022;Sí;30-59965970-2;OSPERYH;E;27.799.684,95;5.837.933,84;33.637.618,79;Período Diciembre 2025 
25) - 29593;02/01/2026;F B;00003-00001023;Sí;30-59545956-3;OSPERYHRA;E;2.000.000,00;420.000,00;2.420.000,00;Período Diciembre 2025 
28) - 29596;02/01/2026;F B;00003-00001024;Sí;30-60956813-1;OSPILM;E;780.190,39;163.839,98;944.030,37;Periodo 12-2025
31) - 29599;02/01/2026;F B;00003-00001025;Sí;30-60956813-1;OSPILM;E;5.311.446,58;1.115.403,78;6.426.850,36;Carpeta 10-2025
34) - 29602;02/01/2026;F B;00003-00001026;Sí;30-60956813-1;OSPILM;E;4.569.638,80;959.624,15;5.529.262,95;Periodo Diciembre 2025
33) - 29601;02/01/2026;NC A;00003-00000030;Sí;30-71707621-0;MEDICAL SERVICIOS DE SALUD SRL;RI;-3.625.608,43;-761.377,77;-4.386.986,20;Anula FC 500
22) - 29590;02/01/2026;NC B;00003-00000052;Sí;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;-350.000,00;-73.500,00;-423.500,00;Anula Fc 3-1018
32) - 29600;02/01/2026;NC B;00003-00000053;Sí;30-60956813-1;OSPILM;E;-780.190,39;-163.839,98;-944.030,37;Anula Fc 1024
105) - 29606;16/01/2026;F A;00003-00000503;Sí;30-70495386-7;OSLERA;RI;125.577,07;26.371,18;151.948,25;Periodo Enero 2026
106) - 29607;16/01/2026;F A;00003-00000504;Sí;30-52297151-7;APDIS;RI;1.850.522,67;388.609,76;2.239.132,43;Período Enero 2026
107) - 29608;16/01/2026;F B;00003-00001027;Sí;30-59545956-3;OSPERYHRA;E;7.288.689,09;1.530.624,71;8.819.313,80;Periodo Enero 2026
108) - 29609;16/01/2026;F B;00003-00001028;Sí;30-59965970-2;OSPERYH;E;37.003.492,37;7.770.733,40;44.774.225,77;Periodo Enero 2026
219) - 29935;01/02/2026;F A;00003-00000505;Sí;33-68915085-9;GEA S.A.;RI;1.154.266,37;242.395,94;1.396.662,31;Período Enero2026
220) - 29936;01/02/2026;F B;00003-00001029;Sí;30-62425407-0;OS PRENSA ROSARIO;E;789.122,29;165.715,68;954.837,97;Periodo Enero 2026
221) - 29937;01/02/2026;F B;00003-00001030;Sí;30-62425407-0;OS PRENSA ROSARIO;E;881.378,75;185.089,54;1.066.468,29;Período Enero 2026
222) - 29938;01/02/2026;F B;00003-00001031;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;2.011.946,57;422.508,78;2.434.455,35;Período Enero2026
223) - 29939;01/02/2026;F B;00003-00001032;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;707.338,61;148.541,11;855.879,72;Período Enero2026
224) - 29940;01/02/2026;F B;00003-00001033;Sí;30-59965970-2;OSPERYH;E;2.176.126,29;456.986,52;2.633.112,81;Período Enero2026
225) - 29941;01/02/2026;F B;00003-00001034;Sí;30-59545956-3;OSPERYHRA;E;458.131,85;96.207,69;554.339,54;Período Enero2026
226) - 29942;01/02/2026;F B;00003-00001035;Sí;30-53331924-2;FATERYH;E;8.704.505,15;1.827.946,08;10.532.451,23;Período Enero2026
227) - 29943;01/02/2026;F B;00003-00001036;Sí;30-52954331-6;SUTERH;E;1.832.527,40;384.830,75;2.217.358,15;Período Enero2026
228) - 29944;01/02/2026;F B;00003-00001037;Sí;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;350.000,00;73.500,00;423.500,00;Período Enero2026
229) - 29945;01/02/2026;F B;00003-00001038;Sí;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;4.500.000,00;945.000,00;5.445.000,00;Período Enero2026
208) - 29616;01/02/2026;NC A;00003-00000031;Sí;33-68915085-9;GEA S.A.;RI;-1.154.266,37;-242.395,94;-1.396.662,31;Anula Fc 505
248) - 29614;04/02/2026;F A;00003-00000506;Sí;30-71522936-2;ASSISTENCIAL SALUD S.A.;RI;2.684.932,70;563.835,87;3.248.768,57;Carpeta 11-2025
249) - 29615;04/02/2026;F A;00003-00000507;Sí;30-71707621-0;MEDICAL SERVICIOS DE SALUD SRL;RI;1.690.087,10;354.918,29;2.045.005,39;Carpeta 11-2025
250) - 29617;04/02/2026;F A;00003-00000508;Sí;33-68915085-9;GEA S.A.;RI;1.186.585,83;249.183,02;1.435.768,85;
251) - 29618;04/02/2026;F B;00003-00001039;Sí;30-60956813-1;OSPILM;E;5.172.293,21;1.086.181,57;6.258.474,78;Carpeta 11-2025
284) - 29946;18/02/2026;F A;00003-00000509;Sí;30-70495386-7;OSLERA;RI;451.235,40;94.759,43;545.994,83;Periodo Febrero 2026
285) - 29947;18/02/2026;F A;00003-00000510;Sí;30-52297151-7;APDIS;RI;2.010.195,53;422.141,06;2.432.336,59;Periodo Febrero 2026
286) - 29948;18/02/2026;F A;00003-00000511;Sí;30-70495386-7;OSLERA;RI;451.235,40;94.759,43;545.994,83;Periodo Febrero 2026
287) - 29949;18/02/2026;F B;00003-00001040;Sí;30-59965970-2;OSPERYH;E;41.447.405,38;8.703.955,13;50.151.360,51;Periodo Febrero 2026
288) - 29950;18/02/2026;F B;00003-00001041;Sí;30-59545956-3;OSPERYHRA;E;8.372.242,44;1.758.170,91;10.130.413,35;Periodo Febrero 2026
289) - 29951;18/02/2026;NC A;00003-00000032;Sí;30-70495386-7;OSLERA;RI;-451.235,40;-94.759,43;-545.994,83;ANULA FC509
353) - 29707;01/03/2026;F A;00003-00000512;Sí;33-68915085-9;GEA S.A.;RI;1.218.985,29;255.986,91;1.474.972,20;Periodo Febrero 2026
354) - 29708;01/03/2026;F A;00003-00000513;Sí;30-71522936-2;ASSISTENCIAL SALUD S.A.;RI;3.187.664,97;669.409,64;3.857.074,61;Carpeta 12-2025
355) - 29709;01/03/2026;F A;00003-00000514;Sí;30-71707621-0;MEDICAL SERVICIOS DE SALUD SRL;RI;2.257.280,48;474.028,90;2.731.309,38;Carpeta 12-2025
356) - 29710;01/03/2026;F B;00003-00001042;Sí;30-62425407-0;OS PRENSA ROSARIO;E;868.034,52;182.287,25;1.050.321,77;Periodo Febrero  2026 
357) - 29711;01/03/2026;F B;00003-00001043;Sí;30-62425407-0;OS PRENSA ROSARIO;E;969.516,63;203.598,49;1.173.115,12;Periodo Febrero  2026
358) - 29712;01/03/2026;F B;00003-00001044;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;2.213.141,23;464.759,66;2.677.900,89;Periodo Febrero  2026 
359) - 29713;01/03/2026;F B;00003-00001045;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;778.072,47;163.395,22;941.467,69;Periodo Febrero  2026 
